2016-06-03 19:50:37,641 | views | put | DEBUG | Incoming data: {u'name': u'liter'} 
2016-06-03 19:50:37,641 | views | put | DEBUG | Incoming data: {u'name': u'liter'} 
2016-06-03 19:50:37,657 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,191 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-03 19:51:04,191 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-03 19:51:04,196 | models | <module> | DEBUG | loading models.py 
2016-06-03 19:51:04,196 | models | <module> | DEBUG | loading models.py 
2016-06-03 19:51:04,226 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-03 19:51:04,226 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-03 19:51:04,243 | views | <module> | DEBUG | loading views.py 
2016-06-03 19:51:04,243 | views | <module> | DEBUG | loading views.py 
2016-06-03 19:51:04,290 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,305 | views | post | DEBUG | POST request for departments: 
2016-06-03 19:51:04,305 | views | post | DEBUG | POST request for departments: 
2016-06-03 19:51:04,322 | views | post | DEBUG | Incoming data: {u'name': u'hba'} 
2016-06-03 19:51:04,322 | views | post | DEBUG | Incoming data: {u'name': u'hba'} 
2016-06-03 19:51:04,322 | views | index | DEBUG | GET request for all departments 
2016-06-03 19:51:04,322 | views | index | DEBUG | GET request for all departments 
2016-06-03 19:51:04,336 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,336 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,336 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,336 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,352 | views | delete | DEBUG | DELETE request for departments 1: 
2016-06-03 19:51:04,352 | views | delete | DEBUG | DELETE request for departments 1: 
2016-06-03 19:51:04,352 | views | get | DEBUG | GET request for departments: id: 1 
2016-06-03 19:51:04,352 | views | get | DEBUG | GET request for departments: id: 1 
2016-06-03 19:51:04,374 | views | get | DEBUG | 404 Error.  No departments found with id 1. 
2016-06-03 19:51:04,374 | views | get | DEBUG | 404 Error.  No departments found with id 1. 
2016-06-03 19:51:04,375 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,375 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,392 | views | index | DEBUG | GET request for all departments 
2016-06-03 19:51:04,392 | views | index | DEBUG | GET request for all departments 
2016-06-03 19:51:04,397 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,397 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,415 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,415 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,430 | views | get | DEBUG | GET request for departments: id: 15 
2016-06-03 19:51:04,430 | views | get | DEBUG | GET request for departments: id: 15 
2016-06-03 19:51:04,430 | views | get | DEBUG | 404 Error.  No departments found with id 15. 
2016-06-03 19:51:04,430 | views | get | DEBUG | 404 Error.  No departments found with id 15. 
2016-06-03 19:51:04,430 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,430 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,447 | views | get | DEBUG | GET request for departments: id: 1 
2016-06-03 19:51:04,447 | views | get | DEBUG | GET request for departments: id: 1 
2016-06-03 19:51:04,463 | views | get | DEBUG | departments id:1 found. 
2016-06-03 19:51:04,463 | views | get | DEBUG | departments id:1 found. 
2016-06-03 19:51:04,473 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,474 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,474 | views | index | DEBUG | GET request for all departments 
2016-06-03 19:51:04,474 | views | index | DEBUG | GET request for all departments 
2016-06-03 19:51:04,490 | views | index | DEBUG | Arguments passed in:  {'q': u'asdf', 'sort': u'jkll'} 
2016-06-03 19:51:04,490 | views | index | DEBUG | Arguments passed in:  {'q': u'asdf', 'sort': u'jkll'} 
2016-06-03 19:51:04,490 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,490 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,506 | views | put | DEBUG | PUT request for departments: 
2016-06-03 19:51:04,506 | views | put | DEBUG | PUT request for departments: 
2016-06-03 19:51:04,506 | views | put | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-03 19:51:04,506 | views | put | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-03 19:51:04,522 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-03 19:51:04,522 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-03 19:51:04,522 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,522 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,538 | views | post | DEBUG | POST request for ingredients: 
2016-06-03 19:51:04,538 | views | post | DEBUG | POST request for ingredients: 
2016-06-03 19:51:04,538 | views | post | DEBUG | Incoming data: {u'name': u'ground pork'} 
2016-06-03 19:51:04,538 | views | post | DEBUG | Incoming data: {u'name': u'ground pork'} 
2016-06-03 19:51:04,552 | views | post | DEBUG | Error loading schema ingredients: {'department': [u'Missing data for required field.']} 
2016-06-03 19:51:04,552 | views | post | DEBUG | Error loading schema ingredients: {'department': [u'Missing data for required field.']} 
2016-06-03 19:51:04,552 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,552 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,572 | views | post | DEBUG | POST request for ingredients: 
2016-06-03 19:51:04,572 | views | post | DEBUG | POST request for ingredients: 
2016-06-03 19:51:04,575 | views | post | DEBUG | Incoming data: {u'department': {u'id': 2, u'name': u'Meat'}, u'name': u'ground pork'} 
2016-06-03 19:51:04,575 | views | post | DEBUG | Incoming data: {u'department': {u'id': 2, u'name': u'Meat'}, u'name': u'ground pork'} 
2016-06-03 19:51:04,591 | views | index | DEBUG | GET request for all ingredients 
2016-06-03 19:51:04,591 | views | index | DEBUG | GET request for all ingredients 
2016-06-03 19:51:04,591 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,591 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,607 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,607 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,621 | views | delete | DEBUG | DELETE request for ingredients 1: 
2016-06-03 19:51:04,621 | views | delete | DEBUG | DELETE request for ingredients 1: 
2016-06-03 19:51:04,621 | views | get | DEBUG | GET request for ingredients: id: 1 
2016-06-03 19:51:04,621 | views | get | DEBUG | GET request for ingredients: id: 1 
2016-06-03 19:51:04,621 | views | get | DEBUG | 404 Error.  No ingredients found with id 1. 
