2016-06-01 15:03:09,355 | views | create_object | DEBUG | POST request for recipes: 
2016-06-01 15:03:09,401 | views | create_object | DEBUG | POST request for recipes: 
2016-06-01 15:03:09,417 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-01 15:03:09,480 | views | delete_object | DEBUG | DELETE request for recipes 1: 
2016-06-01 15:03:09,492 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:03:09,520 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-01 15:03:09,641 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 15:03:09,670 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:03:09,757 | views | update_object | DEBUG | PUT request for recipes: 
2016-06-01 15:03:09,760 | views | update_object | DEBUG | Incoming data: {u'name': u'Lasagna'} 
2016-06-01 15:03:09,812 | views | create_object | DEBUG | POST request for units: 
2016-06-01 15:03:09,819 | views | get_objects | DEBUG | GET request for all units 
2016-06-01 15:03:09,855 | views | delete_object | DEBUG | DELETE request for units 1: 
2016-06-01 15:03:09,861 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:03:09,891 | views | get_objects | DEBUG | GET request for all units 
2016-06-01 15:03:09,943 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 15:03:09,971 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:03:10,007 | views | update_object | DEBUG | PUT request for units: 
2016-06-01 15:03:10,010 | views | update_object | DEBUG | Incoming data: {u'name': u'liter'} 
2016-06-01 15:04:19,276 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 15:04:19,375 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-01 15:04:19,966 | test_schemas | SchemaTest | ERROR | In test_schemas 
2016-06-01 15:04:21,157 | views | create_object | DEBUG | POST request for departments: 
2016-06-01 15:04:21,174 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:04:21,217 | views | delete_object | DEBUG | DELETE request for departments 1: 
2016-06-01 15:04:21,224 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:04:21,253 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:04:21,309 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 15:04:21,338 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:04:21,378 | views | update_object | DEBUG | PUT request for departments: 
2016-06-01 15:04:21,381 | views | update_object | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-01 15:04:21,384 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 15:04:21,417 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-01 15:04:21,447 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-01 15:04:21,457 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-01 15:04:21,496 | views | delete_object | DEBUG | DELETE request for ingredients 1: 
2016-06-01 15:04:21,503 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:04:21,542 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-01 15:04:21,618 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 15:04:21,648 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:04:21,687 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-01 15:04:21,690 | views | update_object | DEBUG | Incoming data: {u'department': {u'name': u'Meat', u'id': 3}} 
2016-06-01 15:04:21,727 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-01 15:04:21,730 | views | update_object | DEBUG | Incoming data: {u'name': u'watermelon'} 
2016-06-01 15:04:21,766 | views | create_object | DEBUG | POST request for recipes: 
2016-06-01 15:04:21,811 | views | create_object | DEBUG | POST request for recipes: 
2016-06-01 15:04:21,828 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-01 15:04:21,888 | views | delete_object | DEBUG | DELETE request for recipes 1: 
2016-06-01 15:04:21,900 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:04:21,930 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-01 15:04:22,051 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 15:04:22,082 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:04:22,171 | views | update_object | DEBUG | PUT request for recipes: 
2016-06-01 15:04:22,174 | views | update_object | DEBUG | Incoming data: {u'name': u'Lasagna'} 
2016-06-01 15:04:22,224 | views | create_object | DEBUG | POST request for units: 
2016-06-01 15:04:22,233 | views | get_objects | DEBUG | GET request for all units 
2016-06-01 15:04:22,269 | views | delete_object | DEBUG | DELETE request for units 1: 
2016-06-01 15:04:22,275 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:04:22,305 | views | get_objects | DEBUG | GET request for all units 
2016-06-01 15:04:22,358 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 15:04:22,388 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:04:22,421 | views | update_object | DEBUG | PUT request for units: 
2016-06-01 15:04:22,424 | views | update_object | DEBUG | Incoming data: {u'name': u'liter'} 
2016-06-01 15:05:39,630 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 15:05:39,726 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-01 15:05:41,668 | views | create_object | DEBUG | POST request for departments: 
2016-06-01 15:05:41,684 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:05:41,723 | views | delete_object | DEBUG | DELETE request for departments 1: 
2016-06-01 15:05:41,730 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:05:41,759 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:05:41,812 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 15:05:41,842 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:05:41,881 | views | update_object | DEBUG | PUT request for departments: 
2016-06-01 15:05:41,884 | views | update_object | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-01 15:05:41,888 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 15:05:41,921 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-01 15:05:41,950 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-01 15:05:41,960 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-01 15:05:42,002 | views | delete_object | DEBUG | DELETE request for ingredients 1: 
2016-06-01 15:05:42,009 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:05:42,038 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-01 15:05:42,107 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 15:05:42,135 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 15:05:42,176 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-01 15:05:42,177 | views | update_object | DEBUG | Incoming data: {u'department': {u'name': u'Meat', u'id': 3}} 
